"date_time","temp","wind_speed_ms","wind_gust_ms","wind_direction_deg","pressure_hpa"
"2023/01/01 01:00:00",0.6,1.4,6.7,256,993.5
"2023/01/01 02:00:00",0.3,1.7,8.6,264,993.7
"2023/01/01 03:00:00",-0.1,2.5,6.4,289,994.3
"2023/01/01 04:00:00",-0.7,3.3,10,311,994.7
"2023/01/01 05:00:00",-0.3,4.4,9.7,353,995.1
"2023/01/01 06:00:00",-0.9,4.2,10.8,348,996.1
"2023/01/01 07:00:00",-1.5,6.4,13.3,358,996.7
"2023/01/01 08:00:00",-2.0,8.1,16.1,2,997.2
"2023/01/01 09:00:00",-2.4,7.2,15.3,8,998.4
"2023/01/01 10:00:00",-2.7,7.8,16.4,18,999.4
"2023/01/01 11:00:00",-2.7,7.5,15.8,24,1000.4
"2023/01/01 12:00:00",-2.6,6.1,11.7,33,1001.1
"2023/01/01 13:00:00",-2.7,5.8,11.7,33,1001.3
"2023/01/01 14:00:00",-3.3,6.1,12.5,26,1001.5
"2023/01/01 15:00:00",-3.5,6.4,15,23,1002.2
"2023/01/01 16:00:00",-3.7,6.7,14.4,28,1003.4
"2023/01/01 17:00:00",-4.0,6.1,13.1,25,1004.3
"2023/01/01 18:00:00",-4.5,5.8,13.1,28,1004.7
"2023/01/01 19:00:00",-4.9,6.1,14.4,28,1005.3
"2023/01/01 20:00:00",-5.4,6.7,14.7,32,1005.7
"2023/01/01 21:00:00",-5.6,5.8,13.6,40,1006
"2023/01/01 22:00:00",-6.2,5.3,11.9,44,1006.3
"2023/01/01 23:00:00",-6.2,5.3,13.1,45,1006.4
"2023/01/02 00:00:00",-5.7,4.7,10.8,58,1006.6
"2023/01/02 01:00:00",-6.0,4.2,10.3,52,1006.4
"2023/01/02 02:00:00",-6.3,5,10.6,48,1005.9
"2023/01/02 03:00:00",-6.4,6.7,13.9,34,1005.4
"2023/01/02 04:00:00",-6.3,6.9,15.3,24,1004.8
"2023/01/02 05:00:00",-5.9,6.4,13.6,22,1004.4
"2023/01/02 06:00:00",-5.7,6.4,13.6,22,1004.2
"2023/01/02 07:00:00",-5.7,5.6,11.1,10,1004.4
"2023/01/02 08:00:00",-5.7,5,11.4,7,1004.6
"2023/01/02 09:00:00",-6.0,5,10.8,8,1004.9
"2023/01/02 10:00:00",-6.2,3.9,10,10,1005.1
"2023/01/02 11:00:00",-6.0,2.5,6.9,5,1005.3
"2023/01/02 12:00:00",-6.0,2.2,6.1,2,1005.3
"2023/01/02 13:00:00",-6.0,2.8,7.5,2,1005.1
"2023/01/02 14:00:00",-6.0,2.5,7.2,0,1004.8
"2023/01/02 15:00:00",-5.9,2.2,7.8,10,1004.6
"2023/01/02 16:00:00",-6.2,2.2,7.2,13,1004.7
"2023/01/02 17:00:00",-6.3,1.9,5.3,17,1004.8
"2023/01/02 18:00:00",-6.2,1.7,5.6,23,1005
"2023/01/02 19:00:00",-6.0,1.4,5.3,22,1004.9
"2023/01/02 20:00:00",-6.1,1.4,5.3,11,1005
"2023/01/02 21:00:00",-6.2,1.4,4.7,8,1005.4
"2023/01/02 22:00:00",-6.1,2.5,7.5,3,1005.4
"2023/01/02 23:00:00",-6.0,2.5,7.2,360,1005.8
"2023/01/03 00:00:00",-6.0,2.2,6.1,352,1006.4
"2023/01/03 01:00:00",-6.0,2.2,10,348,1006.8
"2023/01/03 02:00:00",-6.2,2.2,6.4,358,1007.3
"2023/01/03 03:00:00",-6.5,0.8,5.3,350,1008.2
"2023/01/03 04:00:00",-7.1,1.1,3.9,341,1008.9
"2023/01/03 05:00:00",-7.9,1.9,4.4,319,1009.6
"2023/01/03 06:00:00",-8.2,1.7,5,344,1010.3
"2023/01/03 07:00:00",-8.5,1.4,5.6,350,1011
"2023/01/03 08:00:00",-8.3,2.2,6.1,348,1011.4
"2023/01/03 09:00:00",-8.5,2.5,6.7,339,1012.3
"2023/01/03 10:00:00",-8.1,3.3,9.7,341,1013.2
"2023/01/03 11:00:00",-6.0,5,11.9,354,1013.9
"2023/01/03 12:00:00",-4.5,3.1,8.6,336,1299.9
"2023/01/03 13:00:00",-3.2,3.3,8.6,308,1015
"2023/01/03 14:00:00",-2.8,2.5,8.1,307,1015.1
"2023/01/03 15:00:00",-3.5,2.5,7.5,308,1015.6
"2023/01/03 16:00:00",-6.6,1.7,5.8,330,1015.9
"2023/01/03 17:00:00",-6.7,1.7,4.7,327,1016.1
"2023/01/03 18:00:00",-8.4,1.9,5.3,275,1016.4
"2023/01/03 19:00:00",-7.3,1.4,3.6,328,1016.4
"2023/01/03 20:00:00",-7.1,1.4,3.9,340,1016.5
"2023/01/03 21:00:00",-7.7,1.1,3.1,292,1016.7
"2023/01/03 22:00:00",-8.7,1.1,3.6,274,1016.7
"2023/01/03 23:00:00",-8.6,1.4,4.4,277,1016.7
"2023/01/04 00:00:00",-8.4,1.4,5,300,1016.5
"2023/01/04 01:00:00",-8.7,0.6,3.1,35,1016.4
"2023/01/04 02:00:00",-8.5,1.4,4.4,50,1016
"2023/01/04 03:00:00",-10.4,2.5,8.1,60,1015.7
"2023/01/04 04:00:00",-9.9,2.2,7.2,62,1014.9
"2023/01/04 05:00:00",-10.3,3.9,10.8,55,1013.7
"2023/01/04 06:00:00",-10.0,3.6,9.2,59,1012.9
"2023/01/04 07:00:00",-10.0,5,10.6,54,1011.9
"2023/01/04 08:00:00",-9.6,5.8,13.3,62,1010.8
"2023/01/04 09:00:00",-9.0,6.7,15.3,68,1009.7
"2023/01/04 10:00:00",-8.1,8.6,18.1,72,1008.7
"2023/01/04 11:00:00",-7.6,6.4,13.1,71,1007.9
"2023/01/04 12:00:00",-7.1,5,11.7,63,1006.8
